appcod,cdscod,cds,num_stud,year,dtappello,ad
3459,E2401P,[E2401P] SCIENZE E TECNICHE PSICOLOGICHE,1,2015,2015-09-17T00:00:00Z,[E2401P013] PSICOLOGIA DINAMICA
48,581,[581] GIURISPRUDENZA,2,2016,2016-09-28T00:00:00Z,[A5810010] DIRITTO AMMINISTRATIVO
49,581,[581] GIURISPRUDENZA,1,2016,2016-11-30T00:00:00Z,[A5810010] DIRITTO AMMINISTRATIVO
60,581,[581] GIURISPRUDENZA,1,2016,2016-07-09T00:00:00Z,[A5810011] GIUSTIZIA AMMINISTRATIVA
61,581,[581] GIURISPRUDENZA,4,2016,2016-11-30T00:00:00Z,[A5810011] GIUSTIZIA AMMINISTRATIVA
72,581,[581] GIURISPRUDENZA,1,2016,2016-09-27T00:00:00Z,[A5810012] DIRITTO TRIBUTARIO
73,581,[581] GIURISPRUDENZA,1,2016,2016-11-29T00:00:00Z,[A5810012] DIRITTO TRIBUTARIO
83,581,[581] GIURISPRUDENZA,1,2016,2016-11-28T00:00:00Z,[A5810014] DIRITTO COMMERCIALE
93,581,[581] GIURISPRUDENZA,1,2016,2016-11-28T00:00:00Z,[A5810015] DIRITTO PENALE
94,581,[581] GIURISPRUDENZA,1,2016,2016-06-12T00:00:00Z,[A5810015] DIRITTO PENALE
104,581,[581] GIURISPRUDENZA,1,2016,2016-11-30T00:00:00Z,[A5810017] DIRITTO PROCESSUALE CIVILE
114,581,[581] GIURISPRUDENZA,2,2016,2016-11-30T00:00:00Z,[A5810017] DIRITTO PROCESSUALE CIVILE
122,581,[581] GIURISPRUDENZA,2,2016,2016-11-30T00:00:00Z,[A5810018] PROCEDURA PENALE
141,581,[581] GIURISPRUDENZA,1,2016,2016-11-28T00:00:00Z,[A5810019] ISTITUZIONI DI DIRITTO PRIVATO
151,581,[581] GIURISPRUDENZA,6,2016,2016-11-28T00:00:00Z,[A5810029] DIRITTO CANONICO
161,581,[581] GIURISPRUDENZA,1,2016,2016-05-09T00:00:00Z,[A5810030] DIRITTO ECCLESIASTICO
162,581,[581] GIURISPRUDENZA,1,2016,2016-09-19T00:00:00Z,[A5810030] DIRITTO ECCLESIASTICO
163,581,[581] GIURISPRUDENZA,92,2016,2016-11-28T00:00:00Z,[A5810030] DIRITTO ECCLESIASTICO
173,581,[581] GIURISPRUDENZA,28,2016,2016-01-12T00:00:00Z,[A5810031] INFORMATICA GIURIDICA
183,581,[581] GIURISPRUDENZA,4,2016,2016-09-28T00:00:00Z,[A5810032] SOCIOLOGIA DEL DIRITTO
184,581,[581] GIURISPRUDENZA,3,2016,2016-11-30T00:00:00Z,[A5810032] SOCIOLOGIA DEL DIRITTO
195,581,[581] GIURISPRUDENZA,1,2016,2016-01-12T00:00:00Z,[A5810033] TEORIE DELL'INTERPRETAZIONE
201,581,[581] GIURISPRUDENZA,1,2016,2016-07-09T00:00:00Z,[A5810036] DIRITTO ROMANO
202,581,[581] GIURISPRUDENZA,2,2016,2016-09-28T00:00:00Z,[A5810036] DIRITTO ROMANO
203,581,[581] GIURISPRUDENZA,103,2016,2016-01-12T00:00:00Z,[A5810036] DIRITTO ROMANO
213,581,[581] GIURISPRUDENZA,4,2016,2016-09-30T00:00:00Z,[A5810037] STORIA DEL DIRITTO ROMANO
222,581,[581] GIURISPRUDENZA,56,2016,2016-11-28T00:00:00Z,[A5810039] STORIA DEL DIRITTO DI FAMIGLIA
233,581,[581] GIURISPRUDENZA,5,2016,2016-09-19T00:00:00Z,[A5810039] STORIA DEL DIRITTO DI FAMIGLIA
