corso,somma,conto,media
[H4101D] MEDICINA E CHIRURGIA,322,117,2.752136752136752
[581] GIURISPRUDENZA,752,106,7.09433962264151
[I0101D] INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE),182,96,1.8958333333333333
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,293,83,3.5301204819277108
[E4001N] SOCIOLOGIA,148,66,2.242424242424242
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",314,95,3.305263157894737
[E1901R] SCIENZE DELL'EDUCAZIONE,325,93,3.4946236559139785
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",267,84,3.1785714285714284
[G8501R] SCIENZE DELLA FORMAZIONE PRIMARIA,242,85,2.847058823529412
[E3301M] ECONOMIA E COMMERCIO,265,80,3.3125
[E2001R] COMUNICAZIONE INTERCULTURALE,262,91,2.879120879120879
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,260,78,3.3333333333333335
[H4601D] ODONTOIATRIA E PROTESI DENTARIA,129,83,1.5542168674698795
[F7702M] MARKETING E MERCATI GLOBALI,106,60,1.7666666666666666
[F1701Q] FISICA,160,101,1.5841584158415842
[E4101B] SCIENZE STATISTICHE ED ECONOMICHE,201,75,2.68
[E3101Q] INFORMATICA,148,77,1.922077922077922
[E3001Q] FISICA,192,91,2.10989010989011
[E2401P] SCIENZE E TECNICHE PSICOLOGICHE,315,134,2.3507462686567164
[I0102D] OSTETRICIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI OSTETRICA/O),135,86,1.569767441860465
[F8501R] SCIENZE PEDAGOGICHE,143,70,2.0428571428571427
[F7701M] SCIENZE ECONOMICO-AZIENDALI,150,67,2.2388059701492535
[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI,135,61,2.2131147540983607
[E3501Q] MATEMATICA,160,89,1.797752808988764
[E2701Q] SCIENZA DEI MATERIALI,145,88,1.6477272727272727
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE,181,99,1.8282828282828283
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,135,62,2.1774193548387095
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,105,62,1.6935483870967742
[E1301Q] SCIENZE BIOLOGICHE,242,136,1.7794117647058822
[K0101D] SCIENZE INFERMIERISTICHE E OSTETRICHE,56,44,1.2727272727272727
"[I0303D] TECNICHE DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA )",69,44,1.5681818181818181
[I0201D] FISIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI FISIOTERAPISTA),117,81,1.4444444444444444
[F8204B] SCIENZE STATISTICHE ED ECONOMICHE,136,60,2.2666666666666666
[F7601M] ECONOMIA DEL TURISMO,110,54,2.037037037037037
[E2702Q] SCIENZE E TECNOLOGIE CHIMICHE,150,81,1.8518518518518519
[F9201P] TEORIA E TECNOLOGIA DELLA COMUNICAZIONE,93,52,1.7884615384615385
[F8203B] BIOSTATISTICA,80,49,1.6326530612244898
[F7501Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE E IL TERRITORIO,167,100,1.67
[F7401Q] SCIENZE E TECNOLOGIE GEOLOGICHE,112,64,1.75
"[F5101P] PSICOLOGIA CLINICA, DELLO SVILUPPO E NEUROPSICOLOGIA",78,58,1.3448275862068966
[F1801Q] INFORMATICA,105,64,1.640625
[F0802Q] BIOTECNOLOGIE INDUSTRIALI,134,83,1.6144578313253013
[F0601Q] BIOLOGIA,146,96,1.5208333333333333
[F0101R] SCIENZE ANTROPOLOGICHE ED ETNOLOGICHE,91,54,1.6851851851851851
[E3401Q] SCIENZE E TECNOLOGIE GEOLOGICHE,168,99,1.696969696969697
[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE,171,90,1.9
[E0201Q] BIOTECNOLOGIE,197,124,1.5887096774193548
[I0302D] TECNICHE DI LABORATORIO BIOMEDICO (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI LABORATORIO BIOMEDICO),98,65,1.5076923076923077
[I0301D] IGIENE DENTALE (ABILITANTE ALLA PROFESSIONE SANITARIA DI IGIENISTA DENTALE),59,44,1.3409090909090908
[F6302N] MANAGEMENT E DESIGN DEI SERVIZI,76,54,1.4074074074074074
[F5701R] FORMAZIONE E SVILUPPO DELLE RISORSE UMANE,103,70,1.4714285714285715
[F5602M] INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE,62,41,1.5121951219512195
[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE,106,68,1.5588235294117647
[F5301Q] SCIENZA DEI MATERIALI,79,58,1.3620689655172413
"[F5102P] PSICOLOGIA DEI PROCESSI SOCIALI, DECISIONALI E DEI COMPORTAMENTI ECONOMICI",105,77,1.3636363636363635
[F4001Q] MATEMATICA,98,69,1.4202898550724639
[F1601M] ECONOMIA E FINANZA,104,61,1.7049180327868851
[E3002Q] OTTICA E OPTOMETRIA,145,94,1.5425531914893618
[F8801N] SOCIOLOGIA,68,51,1.3333333333333333
[F8701N] PROGRAMMAZIONE E GESTIONE DELLE POLITICHE E  DEI SERVIZI SOCIALI,51,38,1.3421052631578947
[F5801Q] ASTROFISICA E FISICA DELLO SPAZIO,40,31,1.2903225806451613
[F5104P] PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA,52,42,1.2380952380952381
[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI,95,71,1.3380281690140845
"[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE",54,37,1.4594594594594594
[E3901N] SERVIZIO SOCIALE,88,62,1.4193548387096775
[I0202D] TERAPIA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TERAPISTA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA),58,49,1.183673469387755
[F8202B] SCIENZE STATISTICHE ED ECONOMICHE,5,4,1.25
[F7502Q] MARINE SCIENCES - SCIENZE MARINE,43,36,1.1944444444444444
[F0901D] BIOTECNOLOGIE MEDICHE,70,57,1.2280701754385965
[E2003P] COMUNICAZIONE E PSICOLOGIA,3,3,1
[E1502N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE (NETTUNO),1,1,1
[541] SCIENZE DEL TURISMO E COMUNITA' LOCALE(C.SO A DISTANZA),1,1,1
[524] SCIENZE DELL'EDUCAZIONE,1,1,1
