corso,somma,conto,media
[H4101D] MEDICINA E CHIRURGIA,322,117,"2,752"
[581] GIURISPRUDENZA,752,106,"7,094"
[I0101D] INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE),182,96,"1,896"
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,293,83,"3,530"
[E4001N] SOCIOLOGIA,148,66,"2,242"
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",314,95,"3,305"
[E1901R] SCIENZE DELL'EDUCAZIONE,325,93,"3,495"
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",267,84,"3,179"
[G8501R] SCIENZE DELLA FORMAZIONE PRIMARIA,242,85,"2,847"
[E3301M] ECONOMIA E COMMERCIO,265,80,"3,313"
[E2001R] COMUNICAZIONE INTERCULTURALE,262,91,"2,879"
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,260,78,"3,333"
[H4601D] ODONTOIATRIA E PROTESI DENTARIA,129,83,"1,554"
[F7702M] MARKETING E MERCATI GLOBALI,106,60,"1,767"
[F1701Q] FISICA,160,101,"1,584"
[E4101B] SCIENZE STATISTICHE ED ECONOMICHE,201,75,"2,680"
[E3101Q] INFORMATICA,148,77,"1,922"
[E3001Q] FISICA,192,91,"2,110"
[E2401P] SCIENZE E TECNICHE PSICOLOGICHE,315,134,"2,351"
[I0102D] OSTETRICIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI OSTETRICA/O),135,86,"1,570"
[F8501R] SCIENZE PEDAGOGICHE,143,70,"2,043"
[F7701M] SCIENZE ECONOMICO-AZIENDALI,150,67,"2,239"
[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI,135,61,"2,213"
[E3501Q] MATEMATICA,160,89,"1,798"
[E2701Q] SCIENZA DEI MATERIALI,145,88,"1,648"
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE,181,99,"1,828"
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,135,62,"2,177"
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,105,62,"1,694"
[E1301Q] SCIENZE BIOLOGICHE,242,136,"1,779"
[K0101D] SCIENZE INFERMIERISTICHE E OSTETRICHE,56,44,"1,273"
"[I0303D] TECNICHE DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA )",69,44,"1,568"
[I0201D] FISIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI FISIOTERAPISTA),117,81,"1,444"
[F8204B] SCIENZE STATISTICHE ED ECONOMICHE,136,60,"2,267"
[F7601M] ECONOMIA DEL TURISMO,110,54,"2,037"
[E2702Q] SCIENZE E TECNOLOGIE CHIMICHE,150,81,"1,852"
[F9201P] TEORIA E TECNOLOGIA DELLA COMUNICAZIONE,93,52,"1,788"
[F8203B] BIOSTATISTICA,80,49,"1,633"
[F7501Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE E IL TERRITORIO,167,100,"1,670"
[F7401Q] SCIENZE E TECNOLOGIE GEOLOGICHE,112,64,"1,750"
"[F5101P] PSICOLOGIA CLINICA, DELLO SVILUPPO E NEUROPSICOLOGIA",78,58,"1,345"
[F1801Q] INFORMATICA,105,64,"1,641"
[F0802Q] BIOTECNOLOGIE INDUSTRIALI,134,83,"1,614"
[F0601Q] BIOLOGIA,146,96,"1,521"
[F0101R] SCIENZE ANTROPOLOGICHE ED ETNOLOGICHE,91,54,"1,685"
[E3401Q] SCIENZE E TECNOLOGIE GEOLOGICHE,168,99,"1,697"
[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE,171,90,"1,900"
[E0201Q] BIOTECNOLOGIE,197,124,"1,589"
[I0302D] TECNICHE DI LABORATORIO BIOMEDICO (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI LABORATORIO BIOMEDICO),98,65,"1,508"
[I0301D] IGIENE DENTALE (ABILITANTE ALLA PROFESSIONE SANITARIA DI IGIENISTA DENTALE),59,44,"1,341"
[F6302N] MANAGEMENT E DESIGN DEI SERVIZI,76,54,"1,407"
[F5701R] FORMAZIONE E SVILUPPO DELLE RISORSE UMANE,103,70,"1,471"
[F5602M] INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE,62,41,"1,512"
[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE,106,68,"1,559"
[F5301Q] SCIENZA DEI MATERIALI,79,58,"1,362"
"[F5102P] PSICOLOGIA DEI PROCESSI SOCIALI, DECISIONALI E DEI COMPORTAMENTI ECONOMICI",105,77,"1,364"
[F4001Q] MATEMATICA,98,69,"1,420"
[F1601M] ECONOMIA E FINANZA,104,61,"1,705"
[E3002Q] OTTICA E OPTOMETRIA,145,94,"1,543"
[F8801N] SOCIOLOGIA,68,51,"1,333"
[F8701N] PROGRAMMAZIONE E GESTIONE DELLE POLITICHE E  DEI SERVIZI SOCIALI,51,38,"1,342"
[F5801Q] ASTROFISICA E FISICA DELLO SPAZIO,40,31,"1,290"
[F5104P] PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA,52,42,"1,238"
[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI,95,71,"1,338"
"[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE",54,37,"1,459"
[E3901N] SERVIZIO SOCIALE,88,62,"1,419"
[I0202D] TERAPIA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TERAPISTA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA),58,49,"1,184"
[F8202B] SCIENZE STATISTICHE ED ECONOMICHE,5,4,"1,250"
[F7502Q] MARINE SCIENCES - SCIENZE MARINE,43,36,"1,194"
[F0901D] BIOTECNOLOGIE MEDICHE,70,57,"1,228"
[E2003P] COMUNICAZIONE E PSICOLOGIA,3,3,1
[E1502N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE (NETTUNO),1,1,1
[541] SCIENZE DEL TURISMO E COMUNITA' LOCALE(C.SO A DISTANZA),1,1,1
[524] SCIENZE DELL'EDUCAZIONE,1,1,1
