cdscod,cds,dtappello,commitment
H4101D,[H4101D] MEDICINA E CHIRURGIA,2017-03-31T00:00:00Z,42
581,[581] GIURISPRUDENZA,2017-03-05T00:00:00Z,32
581,[581] GIURISPRUDENZA,2017-01-25T00:00:00Z,24
581,[581] GIURISPRUDENZA,2016-11-30T00:00:00Z,23
581,[581] GIURISPRUDENZA,2017-09-27T00:00:00Z,23
581,[581] GIURISPRUDENZA,2017-04-05T00:00:00Z,21
581,[581] GIURISPRUDENZA,2016-11-28T00:00:00Z,19
581,[581] GIURISPRUDENZA,2017-07-19T00:00:00Z,19
581,[581] GIURISPRUDENZA,2017-08-02T00:00:00Z,19
581,[581] GIURISPRUDENZA,2017-11-09T00:00:00Z,19
581,[581] GIURISPRUDENZA,2017-11-27T00:00:00Z,19
581,[581] GIURISPRUDENZA,2017-11-29T00:00:00Z,18
581,[581] GIURISPRUDENZA,2017-09-28T00:00:00Z,17
I0101D,[I0101D] INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE),2017-09-22T00:00:00Z,17
581,[581] GIURISPRUDENZA,2017-05-05T00:00:00Z,16
581,[581] GIURISPRUDENZA,2017-11-07T00:00:00Z,16
I0101D,[I0101D] INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE),2017-09-25T00:00:00Z,16
581,[581] GIURISPRUDENZA,2017-07-06T00:00:00Z,15
581,[581] GIURISPRUDENZA,2017-05-31T00:00:00Z,14
581,[581] GIURISPRUDENZA,2017-06-28T00:00:00Z,14
581,[581] GIURISPRUDENZA,2017-02-05T00:00:00Z,13
581,[581] GIURISPRUDENZA,2017-02-13T00:00:00Z,13
581,[581] GIURISPRUDENZA,2017-05-29T00:00:00Z,13
581,[581] GIURISPRUDENZA,2017-06-21T00:00:00Z,13
581,[581] GIURISPRUDENZA,2017-11-28T00:00:00Z,13
E1401A,[E1401A] SCIENZE DEI SERVIZI GIURIDICI,2017-09-27T00:00:00Z,13
581,[581] GIURISPRUDENZA,2017-01-23T00:00:00Z,12
