cds,ad,adcod,cdscod,trialerror,rn
[524] SCIENZE DELL'EDUCAZIONE,[E1901R086] METODI E TECNICHE DELLA FORMAZIONE MEDIALE,E1901R086,524,"0,0000",1
[541] SCIENZE DEL TURISMO E COMUNITA' LOCALE(C.SO A DISTANZA),[E1501N009] SOCIOLOGIA DELLA CULTURA E DEL TEMPO LIBERO,E1501N009,541,"0,0000",1
[581] GIURISPRUDENZA,[A5810228] STORIA DEL DIRITTO MEDIEVALE E MODERNO,A5810228,581,"0,1392",3
[581] GIURISPRUDENZA,[A5810003] SCIENZA DELLE FINANZE,A5810003,581,"0,1580",2
[581] GIURISPRUDENZA,[A5810081] ECONOMIA AZIENDALE,A5810081,581,"0,2000",1
[E0201Q] BIOTECNOLOGIE,[E0201Q050] METODOLOGIE BIOCHIMICHE E TECNOLOGIE BIOMOLECOLARI,E0201Q050,E0201Q,"0,2836",3
[E0201Q] BIOTECNOLOGIE,[E0201Q059] BIOCHIMICA PER LE BIOTECNOLOGIE,E0201Q059,E0201Q,"0,4149",2
[E0201Q] BIOTECNOLOGIE,[E0201Q001] MATEMATICA,E0201Q001,E0201Q,"0,4936",1
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q009] CHIMICA GENERALE,E1301Q009,E1301Q,"0,6103",3
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q011] ZOOLOGIA,E1301Q011,E1301Q,"0,6422",2
[E1301Q] SCIENZE BIOLOGICHE,[E0201Q054] FARMACOLOGIA,E0201Q054,E1301Q,"1,0000",1
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A014] STATISTICA ECONOMICA,E1401A014,E1401A,"0,2151",3
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A030] DIRITTO COMUNITARIO DELLA CONCORRENZA E DEL MERCATO INTERNO,E1401A030,E1401A,"0,3333",2
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A015] ECONOMIA AZIENDALE,E1401A015,E1401A,"0,4040",1
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E3301M182] LINGUA-SPAGNOLO,E3301M182,E1501N,"0,3333",3
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E1801M053] LINGUA - TEDESCO,E1801M053,E1501N,"1,0000",1
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E4001N055] LA COMUNICAZIONE: PRODUZIONE E CONSUMO,E4001N055,E1501N,"1,0000",2
[E1502N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE (NETTUNO),[E1501N080] MARKETING,E1501N080,E1502N,"0,0000",1
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,[E2004P004] PSICOLOGIA GENERALE PER LA COMUNICAZIONE,E2004P004,E1601N,"1,0000",3
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,[E1801M050] LINGUA - FRANCESE,E1801M050,E1601N,"2,0000",1
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,[E1802M117] BILANCIO E ANALISI ECONOMICO FINANZIARIA,E1802M117,E1601N,"2,0000",2
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",[E1801M052] LINGUA - SPAGNOLO,E1801M052,E1801M,"0,2515",3
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",[E1801M048] MATEMATICA PER IL MARKETING,E1801M048,E1801M,"0,3592",2
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",[E1801M032] INFORMATICA GENERALE,E1801M032,E1801M,"0,7151",1
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,[E1802M119] METODI STATISTICI PER L'AMMINISTRAZIONE DELLE IMPRESE,E1802M119,E1802M,"0,3306",3
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,[E1802M007] RAGIONERIA GENERALE ED APPLICATA,E1802M007,E1802M,"0,3578",2
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,"[E3301M148] ECONOMIA,GESTIONE DELLE IMPRESE INDUSTRIALI E MARKETING",E3301M148,E1802M,"0,4762",1
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",[E1803M050] GESTIONE BANCARIA,E1803M050,E1803M,"0,3584",3
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",[E1803M051] MATEMATICA PER LA FINANZA,E1803M051,E1803M,"0,3642",2
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",[E1803M047] MATEMATICA GENERALE I,E1803M047,E1803M,"0,6984",1
[E1901R] SCIENZE DELL'EDUCAZIONE,[E1901R004] ANTROPOLOGIA CULTURALE,E1901R004,E1901R,"0,0838",3
[E1901R] SCIENZE DELL'EDUCAZIONE,[E1901R005] PSICOLOGIA DELL'EDUCAZIONE,E1901R005,E1901R,"0,1044",2
[E1901R] SCIENZE DELL'EDUCAZIONE,[E1901R021] STORIA CONTEMPORANEA,E1901R021,E1901R,"0,1274",1
[E2001R] COMUNICAZIONE INTERCULTURALE,[E2004P004] PSICOLOGIA GENERALE PER LA COMUNICAZIONE,E2004P004,E2001R,"1,0000",2
[E2001R] COMUNICAZIONE INTERCULTURALE,[E2401P103] PSICOPATOLOGIA GENERALE,E2401P103,E2001R,"1,0000",3
[E2001R] COMUNICAZIONE INTERCULTURALE,[E2004P013] PSICOLOGIA DELL'ARTE,E2004P013,E2001R,"1,5000",1
[E2003P] COMUNICAZIONE E PSICOLOGIA,[E2004P029] PSICOLOGIA DEL COMPORTAMENTO ECONOMICO E DEI CONSUMI,E2004P029,E2003P,"0,0000",1
[E2003P] COMUNICAZIONE E PSICOLOGIA,[E2004P038] WEB MARKETING,E2004P038,E2003P,"0,0000",2
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE,[E2004P004] PSICOLOGIA GENERALE PER LA COMUNICAZIONE,E2004P004,E2004P,"0,4144",3
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE,[E2004P013] PSICOLOGIA DELL'ARTE,E2004P013,E2004P,"0,6111",2
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE,[E2401P026] PSICOLOGIA GIURIDICA,E2401P026,E2004P,"1,0000",1
[E2401P] SCIENZE E TECNICHE PSICOLOGICHE,[E2401P016] PENSIERO E COMUNICAZIONE,E2401P016,E2401P,"0,4444",3
