cds,adcod,cdscod,media_voto,genere,etaimm,citttipo,rn
[524] SCIENZE DELL'EDUCAZIONE,E1901R086,524,25.0,F,21,Italiana,1
[541] SCIENZE DEL TURISMO E COMUNITA' LOCALE(C.SO A DISTANZA),E1501N009,541,25.0,F,28,Italiana,1
[581] GIURISPRUDENZA,A5810003,581,30.0,F,19,Italiana,5
[581] GIURISPRUDENZA,A5810010,581,30.0,F,19,Italiana,8
[581] GIURISPRUDENZA,A5810012,581,30.0,F,19,Italiana,9
[581] GIURISPRUDENZA,A5810017,581,30.0,F,19,Italiana,2
[581] GIURISPRUDENZA,A5810029,581,30.0,F,19,Italiana,6
[581] GIURISPRUDENZA,A5810030,581,30.0,M,19,Italiana,2
[581] GIURISPRUDENZA,A5810036,581,30.0,M,19,Italiana,1
[581] GIURISPRUDENZA,A5810036,581,30.0,M,19,Italiana,10
[581] GIURISPRUDENZA,A5810037,581,30.0,M,19,Italiana,3
[581] GIURISPRUDENZA,A5810037,581,30.0,M,19,Italiana,6
[581] GIURISPRUDENZA,A5810042,581,30.0,M,19,Italiana,5
[581] GIURISPRUDENZA,A5810042,581,30.0,M,20,Italiana,4
[581] GIURISPRUDENZA,A5810052,581,30.0,M,19,Italiana,9
[581] GIURISPRUDENZA,A5810055,581,30.0,M,19,Italiana,7
[581] GIURISPRUDENZA,A5810062,581,30.0,F,20,Italiana,4
[581] GIURISPRUDENZA,A5810076,581,30.0,F,19,Italiana,1
[581] GIURISPRUDENZA,A5810125,581,30.0,F,19,Italiana,7
[581] GIURISPRUDENZA,A5810134,581,30.0,F,19,Italiana,10
[581] GIURISPRUDENZA,A5810138,581,30.0,F,18,Italiana,3
[581] GIURISPRUDENZA,A5810138,581,30.0,M,19,Italiana,8
[E0201Q] BIOTECNOLOGIE,E0201Q004,E0201Q,29.25,M,19,Italiana,9
[E0201Q] BIOTECNOLOGIE,E0201Q008,E0201Q,29.25,M,19,Italiana,10
[E0201Q] BIOTECNOLOGIE,E0201Q001,E0201Q,29.2857142857143,M,19,Italiana,8
[E0201Q] BIOTECNOLOGIE,E0201Q001,E0201Q,29.3333333333333,M,19,Italiana,7
[E0201Q] BIOTECNOLOGIE,E0201Q001,E0201Q,29.4285714285714,M,19,Italiana,6
[E0201Q] BIOTECNOLOGIE,E0201Q053,E0201Q,29.5,F,19,Italiana,10
[E0201Q] BIOTECNOLOGIE,E0201Q001,E0201Q,29.5714285714286,F,19,Italiana,9
[E0201Q] BIOTECNOLOGIE,E0201Q054,E0201Q,29.6,M,19,Italiana,5
[E0201Q] BIOTECNOLOGIE,E0201Q001,E0201Q,29.7142857142857,F,19,Italiana,8
[E0201Q] BIOTECNOLOGIE,E0201Q012,E0201Q,29.8,F,19,Italiana,7
[E0201Q] BIOTECNOLOGIE,E0201Q001,E0201Q,29.8571428571429,F,19,Italiana,6
[E0201Q] BIOTECNOLOGIE,E0201Q001,E0201Q,29.8571428571429,M,19,Italiana,3
[E0201Q] BIOTECNOLOGIE,E0201Q001,E0201Q,29.8571428571429,M,19,Italiana,4
[E0201Q] BIOTECNOLOGIE,E0201Q001,E0201Q,30.0,F,19,Italiana,1
[E0201Q] BIOTECNOLOGIE,E0201Q001,E0201Q,30.0,M,19,Italiana,1
[E0201Q] BIOTECNOLOGIE,E0201Q008,E0201Q,30.0,F,19,Italiana,5
[E0201Q] BIOTECNOLOGIE,E0201Q008,E0201Q,30.0,M,19,Italiana,2
[E0201Q] BIOTECNOLOGIE,E0201Q012,E0201Q,30.0,F,19,Italiana,3
[E0201Q] BIOTECNOLOGIE,E0201Q049,E0201Q,30.0,F,21,Extra Comunitaria,4
[E0201Q] BIOTECNOLOGIE,E0201Q053,E0201Q,30.0,F,19,Italiana,2
[E1301Q] SCIENZE BIOLOGICHE,E1301Q015,E1301Q,29.5,M,19,Italiana,10
[E1301Q] SCIENZE BIOLOGICHE,E1301Q015,E1301Q,29.5555555555556,M,19,Italiana,9
[E1301Q] SCIENZE BIOLOGICHE,E1301Q058,E1301Q,29.6,M,21,Italiana,8
[E1301Q] SCIENZE BIOLOGICHE,E0201Q057,E1301Q,29.6666666666667,F,19,Italiana,9
[E1301Q] SCIENZE BIOLOGICHE,E1301Q007,E1301Q,29.6666666666667,F,19,Italiana,10
[E1301Q] SCIENZE BIOLOGICHE,E1301Q007,E1301Q,29.6666666666667,M,19,Italiana,7
[E1301Q] SCIENZE BIOLOGICHE,E1301Q015,E1301Q,29.7142857142857,F,19,Italiana,8
