cds,ad,adcod,cdscod,media_voto,rn
[524] SCIENZE DELL'EDUCAZIONE,[E1901R086] METODI E TECNICHE DELLA FORMAZIONE MEDIALE,E1901R086,524,25.0,1
[541] SCIENZE DEL TURISMO E COMUNITA' LOCALE(C.SO A DISTANZA),[E1501N009] SOCIOLOGIA DELLA CULTURA E DEL TEMPO LIBERO,E1501N009,541,25.0,1
[581] GIURISPRUDENZA,[A5810081] ECONOMIA AZIENDALE,A5810081,581,21.0,1
[581] GIURISPRUDENZA,[A5810001] DIRITTO DEI CONSUMATORI,A5810001,581,23.6666666666667,2
[581] GIURISPRUDENZA,[A5810130] DIRITTO DELL'UNIONE EUROPEA,A5810130,581,25.104,3
[581] GIURISPRUDENZA,[A5810139] DIRITTO AMMINISTRATIVO -PARTE SPECIALE,A5810139,581,30.0,1
[581] GIURISPRUDENZA,[A5810169] EUROPEAN UNION COMMON AND SECURITY DEFENSE POLICY,A5810169,581,30.0,2
[581] GIURISPRUDENZA,[A5810170] TRANSITIONAL JUSTICE AND STATE BUILDING,A5810170,581,30.0,3
[E0201Q] BIOTECNOLOGIE,[E0201Q050] METODOLOGIE BIOCHIMICHE E TECNOLOGIE BIOMOLECOLARI,E0201Q050,E0201Q,22.6346153846154,1
[E0201Q] BIOTECNOLOGIE,[E1301Q059] ECOLOGIA APPLICATA,E1301Q059,E0201Q,23.0,2
[E0201Q] BIOTECNOLOGIE,[E0201Q059] BIOCHIMICA PER LE BIOTECNOLOGIE,E0201Q059,E0201Q,23.4109589041096,3
[E0201Q] BIOTECNOLOGIE,[E0201Q063] BIOCHIMICA CELLULARE,E0201Q063,E0201Q,28.3636363636364,3
[E0201Q] BIOTECNOLOGIE,[E0201Q058] CHIMICA FISICA,E0201Q058,E0201Q,29.0,2
[E0201Q] BIOTECNOLOGIE,[E0201Q074] BIOFISICA,E0201Q074,E0201Q,30.0,1
[E1301Q] SCIENZE BIOLOGICHE,[E1301Q071] MATEMATICA E STATISTICA,E1301Q071,E1301Q,23.9259259259259,1
[E1301Q] SCIENZE BIOLOGICHE,[E0201Q067] PATOLOGIA GENERALE,E0201Q067,E1301Q,24.2727272727273,2
[E1301Q] SCIENZE BIOLOGICHE,[E0201Q065] BIOCHIMICA SISTEMATICA UMANA,E0201Q065,E1301Q,24.3333333333333,3
[E1301Q] SCIENZE BIOLOGICHE,[E0201Q046] INFORMATICA,E0201Q046,E1301Q,30.0,1
[E1301Q] SCIENZE BIOLOGICHE,[E0201Q063] BIOCHIMICA CELLULARE,E0201Q063,E1301Q,30.0,2
[E1301Q] SCIENZE BIOLOGICHE,[E3201Q084] GESTIONE DI BASE DATI,E3201Q084,E1301Q,30.0,3
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A038] DIRITTO AMMINISTRATIVO EUROPEO,E1401A038,E1401A,21.0,1
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A082] POLITICA ECONOMICA,E1401A082,E1401A,22.125,2
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[E1401A015] ECONOMIA AZIENDALE,E1401A015,E1401A,22.5806451612903,3
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[A5810077] DIRITTO DELLE ASSICURAZIONI,A5810077,E1401A,30.0,1
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[A5810121] MEDIAZIONE CIVILE E COMMERCIALE,A5810121,E1401A,30.0,2
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,[A5810138] SOCIOLOGIA DEI DIRITTI FONDAMENTALI,A5810138,E1401A,30.0,3
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E1501N076] GENERE E TURISMO,E1501N076,E1501N,22.6145833333333,1
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E3301M183] LINGUA- TEDESCO,E3301M183,E1501N,23.0,2
